experience,education,tech_score,interview_score,age,gender,hired,education_enc,gender_enc
1,Bachelors,96,95,42,Male,1,0,1
7,Bachelors,77,35,49,Male,1,0,1
12,Masters,67,87,56,Female,1,2,0
13,High School,60,98,43,Female,1,1,0
12,Masters,93,57,44,Female,1,2,0
2,High School,82,91,24,Female,0,1,0
9,PhD,57,70,31,Male,1,3,1
2,Bachelors,75,98,46,Male,1,0,1
7,High School,74,70,29,Male,1,1,1
7,Bachelors,84,78,32,Female,1,0,0
1,Bachelors,94,78,26,Female,0,0,0
7,Masters,48,32,50,Male,1,2,1
10,Masters,92,39,26,Male,1,2,1
12,Masters,77,64,30,Male,1,2,1
12,High School,97,31,23,Male,1,1,1
0,High School,69,53,22,Female,0,1,0
5,High School,99,67,51,Female,0,1,0
7,Bachelors,83,51,32,Male,1,0,1
2,Masters,73,55,49,Female,0,2,0
7,Bachelors,71,72,33,Female,0,0,0
11,High School,42,84,47,Male,1,1,1
0,Bachelors,42,68,34,Male,0,0,1
10,Masters,67,58,29,Male,1,2,1
10,Masters,83,49,49,Male,1,2,1
8,Masters,54,70,51,Male,1,2,1
12,Bachelors,80,83,30,Male,1,0,1
10,High School,62,49,52,Male,1,1,1
12,Masters,79,48,42,Male,1,2,1
8,Masters,50,95,55,Female,0,2,0
4,Bachelors,87,59,52,Male,1,0,1
9,Masters,71,82,46,Male,1,2,1
3,Masters,97,63,33,Male,1,2,1
14,Masters,98,51,22,Female,1,2,0
10,Masters,96,96,43,Male,1,2,1
5,Bachelors,93,35,22,Male,1,0,1
11,Bachelors,75,56,22,Female,0,0,0
6,Bachelors,99,39,42,Female,0,0,0
4,Masters,72,77,36,Female,0,2,0
10,Masters,63,99,38,Male,1,2,1
12,Masters,78,88,43,Male,1,2,1
9,High School,73,88,56,Female,1,1,0
8,Masters,95,31,37,Female,0,2,0
2,Masters,67,58,29,Female,0,2,0
14,Masters,76,97,38,Female,1,2,0
6,Masters,46,94,38,Male,1,2,1
9,Masters,43,55,47,Female,0,2,0
9,Bachelors,76,39,34,Male,1,0,1
10,Bachelors,95,82,38,Male,1,0,1
4,High School,40,88,38,Male,1,1,1
13,Bachelors,40,51,35,Male,1,0,1
6,Masters,86,80,27,Male,1,2,1
14,Masters,59,77,56,Male,1,2,1
1,Bachelors,58,50,35,Female,0,0,0
3,High School,68,51,29,Male,0,1,1
1,Masters,49,59,36,Female,0,2,0
13,High School,99,54,48,Male,1,1,1
12,High School,57,57,34,Male,1,1,1
12,High School,67,94,52,Male,1,1,1
11,High School,74,74,56,Male,1,1,1
6,High School,82,97,27,Male,1,1,1
1,Bachelors,86,36,26,Male,0,0,1
12,Bachelors,70,78,43,Male,1,0,1
13,Masters,66,38,44,Female,0,2,0
10,Bachelors,50,65,46,Male,1,0,1
0,Masters,88,30,55,Female,0,2,0
8,High School,88,39,47,Male,1,1,1
0,Bachelors,77,65,26,Female,0,0,0
7,Masters,44,75,47,Female,0,2,0
14,High School,47,61,41,Female,0,1,0
1,Bachelors,73,61,27,Male,1,0,1
11,Bachelors,87,35,27,Male,1,0,1
7,Masters,91,77,39,Male,1,2,1
12,High School,95,67,25,Female,1,1,0
2,Bachelors,51,46,38,Female,0,0,0
5,Masters,77,56,35,Female,0,2,0
2,High School,40,83,35,Male,0,1,1
13,Masters,70,79,34,Female,1,2,0
6,Masters,43,64,28,Female,0,2,0
9,PhD,88,54,36,Male,1,3,1
8,Bachelors,84,57,40,Male,1,0,1
1,Masters,89,44,56,Female,0,2,0
14,Bachelors,44,33,38,Female,0,0,0
11,Bachelors,69,56,56,Female,0,0,0
11,High School,95,55,40,Male,1,1,1
14,Masters,63,48,41,Female,0,2,0
13,Bachelors,98,46,57,Male,1,0,1
4,Bachelors,42,72,56,Male,0,0,1
12,High School,50,70,53,Male,1,1,1
5,Masters,84,71,45,Female,0,2,0
3,Masters,43,79,38,Female,0,2,0
3,Masters,65,69,28,Male,1,2,1
3,Bachelors,66,68,22,Male,1,0,1
1,High School,85,52,56,Female,0,1,0
3,Masters,93,81,53,Male,1,2,1
10,Bachelors,82,76,57,Female,0,0,0
0,High School,66,92,34,Male,0,1,1
11,Masters,81,98,27,Male,1,2,1
5,PhD,90,72,35,Male,1,3,1
0,Masters,89,77,36,Male,1,2,1
9,Masters,45,63,25,Female,0,2,0
5,PhD,98,69,37,Male,1,3,1
0,Bachelors,54,90,49,Male,0,0,1
5,Bachelors,92,79,37,Female,0,0,0
9,PhD,69,96,25,Male,1,3,1
7,High School,81,91,47,Male,1,1,1
10,Masters,76,87,49,Female,1,2,0
1,Bachelors,97,62,53,Female,0,0,0
1,Bachelors,76,45,23,Male,0,0,1
13,Masters,81,77,52,Female,1,2,0
14,PhD,99,39,24,Female,1,3,0
12,Masters,76,67,29,Male,1,2,1
11,High School,74,48,45,Male,1,1,1
3,Masters,62,65,36,Female,0,2,0
10,Bachelors,45,88,52,Female,0,0,0
2,Bachelors,43,92,30,Male,1,0,1
3,Bachelors,57,75,23,Female,0,0,0
12,Bachelors,99,32,29,Female,1,0,0
11,Bachelors,48,94,28,Male,1,0,1
6,PhD,88,37,37,Male,1,3,1
12,Masters,68,80,56,Male,1,2,1
10,Masters,52,35,51,Female,0,2,0
0,High School,98,68,31,Male,1,1,1
5,PhD,86,89,39,Female,0,3,0
14,PhD,91,57,26,Female,1,3,0
14,Masters,56,83,50,Female,1,2,0
2,High School,84,66,55,Male,1,1,1
10,High School,71,38,44,Female,0,1,0
9,Bachelors,87,85,26,Male,1,0,1
6,High School,61,88,51,Female,0,1,0
9,Bachelors,43,31,27,Male,1,0,1
1,PhD,44,90,25,Male,1,3,1
13,Bachelors,76,87,50,Female,1,0,0
1,High School,80,89,44,Male,1,1,1
12,Bachelors,88,69,27,Male,1,0,1
3,High School,52,65,53,Female,0,1,0
0,High School,73,66,39,Female,0,1,0
2,Bachelors,84,47,36,Female,0,0,0
12,Bachelors,61,92,53,Female,1,0,0
8,Masters,92,51,30,Male,1,2,1
6,PhD,98,40,31,Male,1,3,1
14,Bachelors,62,87,41,Male,1,0,1
6,Bachelors,90,86,27,Male,1,0,1
12,Masters,42,33,24,Female,0,2,0
12,Bachelors,81,36,32,Female,0,0,0
10,High School,73,90,38,Male,1,1,1
3,Masters,71,83,53,Male,1,2,1
1,High School,84,97,25,Female,0,1,0
14,Masters,90,30,25,Male,1,2,1
13,Bachelors,97,84,38,Female,1,0,0
3,Bachelors,88,32,40,Male,1,0,1
5,Bachelors,60,67,26,Female,0,0,0
10,Masters,85,30,53,Male,1,2,1
10,High School,83,67,43,Female,0,1,0
2,Bachelors,60,58,27,Female,0,0,0
0,Masters,83,34,56,Female,0,2,0
13,Bachelors,50,50,43,Female,1,0,0
11,High School,78,96,22,Female,1,1,0


